feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
175596|Blue Hill|Gap|Colorado|08|Eagle|037|Cottonwood Pass|10/13/1978|||||393432N|1070135W|39.5755397|-107.0264357|||0.0|0.0
175597|Sheephorn Mountain|Summit|Colorado|08|Grand|049|Sheephorn Mountain|10/13/1978|02/15/2020||||395727N|1062643W|39.957509|-106.4451416|||0.0|0.0
175599|Camp Creek|Stream|Colorado|08|Grand|049|King Creek|10/13/1978|11/13/2015||||395821N|1062148W|39.9724981|-106.3632739|395713N|1062449W|39.9535683|-106.4134956
175600|North Spruce Creek|Stream|Colorado|08|Grand|049|Sheephorn Mountain|10/13/1978|||||395627N|1062238W|39.9408192|-106.3772522|395635N|1062410W|39.9430556|-106.4027778
175602|Noonan Ditch|Canal|Colorado|08|Grand|049|King Creek|10/13/1978|11/13/2015||||395500N|1062140W|39.9166526|-106.3611406|||0.0|0.0
175603|Spring Creek|Stream|Colorado|08|Summit|117|King Creek|10/13/1978|||||395520N|1062043W|39.922208|-106.3453067|395417N|1062402W|39.9047082|-106.400586
175604|Spruce Creek|Stream|Colorado|08|Summit|117|King Creek|10/13/1978|||||395650N|1062130W|39.947208|-106.3583628|395304N|1062540W|39.8844305|-106.4278088
175605|Miller Gulch|Valley|Colorado|08|Grand|049|King Creek|10/13/1978|10/26/2016||||395529N|1062040W|39.9247166|-106.3443551|395604N|1061904W|39.9344998|-106.3177982
175606|King Creek|Stream|Colorado|08|Grand|049|King Creek|10/13/1978|||||395618N|1062110W|39.9383191|-106.352807|395649N|1061742W|39.9469444|-106.295
175607|Harsha Gulch|Valley|Colorado|08|Grand|049|King Creek|10/13/1978|07/06/2016|Official|Board Decision|01/01/1979|395817N|1062133W|39.9713295|-106.3590446|395802N|1061845W|39.9671363|-106.312618
175608|Lower Cataract Lake|Lake|Colorado|08|Summit|117|Mount Powell|10/13/1978|05/24/2023||||394959N|1061923W|39.832999|-106.3229805|||0.0|0.0
175609|Dora Mountain|Summit|Colorado|08|Summit|117|Mount Powell|10/13/1978|02/22/2020||||394700N|1061808W|39.7833139|-106.3023046|||0.0|0.0
175610|Haystack Mountain|Summit|Colorado|08|Summit|117|King Creek|10/13/1978|07/03/2019||||395453N|1061736W|39.9147469|-106.2932217|||0.0|0.0
175611|Green Mountain|Summit|Colorado|08|Summit|117|King Creek|10/13/1978|07/03/2019||||395324N|1061937W|39.890041|-106.3270698|||0.0|0.0
175612|Horse Creek|Stream|Colorado|08|Summit|117|King Creek|10/13/1978||Official|Board Decision|01/01/1979|395258N|1061657W|39.8827634|-106.2825273|395412N|1061540W|39.9033333|-106.2611111
175614|Cataract Creek|Stream|Colorado|08|Summit|117|Mount Powell|10/13/1978|||||395216N|1061656W|39.8710967|-106.2822496|394535N|1062131W|39.7597222|-106.3586111
